solid_lmu_gem_2_gem1_kapton  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem1 kapton layer  |                              0*cm 0*cm 0.13105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem1_Cu_2  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem1 Cu layer  |                              0*cm 0*cm 0.15855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem2_Cu_1  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem2 Cu layer  |                              0*cm 0*cm 0.16355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem2_kapton  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem2 kapton layer  |                              0*cm 0*cm 0.19105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem2_Cu_2  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem2 Cu layer  |                              0*cm 0*cm 0.21855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem3_Cu_1  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem3 Cu layer  |                              0*cm 0*cm 0.22355*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem3_kapton  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem3 kapton layer  |                              0*cm 0*cm 0.25105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem3_Cu_2  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem3 Cu layer  |                              0*cm 0*cm 0.27855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_gem3_glue  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 gem3 glue layer  |                              0*cm 0*cm 0.28245*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                     5.1*cm 5.1*cm 0.0014*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout1_Cu_1  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout1 Cu layer  |                               0*cm 0*cm 0.2857*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout1_g10  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout1 g10 layer  |                              0*cm 0*cm 0.33755*cm  |                       0*deg 0*deg 0*deg  | 888808   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout1_Cu_2  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout1 Cu layer  |                               0*cm 0*cm 0.3894*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout2_glue  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout2 glue layer  |                               0*cm 0*cm 0.3975*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                    5.1*cm 5.1*cm 0.00625*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout2_g10  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout2 g10 layer  |                              0*cm 0*cm 0.45375*cm  |                       0*deg 0*deg 0*deg  | 888808   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_2_readout2_Cu  |solid_lmu_gem_2_region  |LMU-size compact GEM 2 readout2 Cu layer  |                               0*cm 0*cm 0.5056*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     solid_lmu_gem_3  |          cc_pro_tcd  |LMU-size compact GEM module 3 outer mother  |                                0*cm 0*cm 76.96*cm  |                       0*deg 0*deg 0*deg  | ff66cc   |                 Box  |                                        5.1*cm 5.1*cm 0.6*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_region  |     solid_lmu_gem_3  |LMU-size compact GEM module 3 inner region  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 4f84f7   |                 Box  |                                       5.1*cm 5.1*cm 0.55*cm  |              G4_AIR  |                  no  |     1   |     0   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout2_Cu  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout2 Cu layer  |                              0*cm 0*cm -0.5056*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout2_g10  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout2 g10 layer  |                             0*cm 0*cm -0.45375*cm  |                       0*deg 0*deg 0*deg  | 888808   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout2_glue  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout2 glue layer  |                              0*cm 0*cm -0.3975*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                    5.1*cm 5.1*cm 0.00625*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout1_Cu_2  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout1 Cu layer  |                              0*cm 0*cm -0.3894*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout1_g10  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout1 g10 layer  |                             0*cm 0*cm -0.33755*cm  |                       0*deg 0*deg 0*deg  | 888808   |                 Box  |                                       5.1*cm 5.1*cm 0.05*cm  |                 g10  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_readout1_Cu_1  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 readout1 Cu layer  |                              0*cm 0*cm -0.2857*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                    5.1*cm 5.1*cm 0.00185*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem3_glue  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem3 glue layer  |                             0*cm 0*cm -0.28245*cm  |                       0*deg 0*deg 0*deg  | 14ce3d   |                 Box  |                                     5.1*cm 5.1*cm 0.0014*cm  |                glue  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem3_Cu_2  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem3 Cu layer  |                             0*cm 0*cm -0.27855*cm  |                       0*deg 0*deg 0*deg  | fd7f00   |                 Box  |                                     5.1*cm 5.1*cm 0.0025*cm  |                  Cu  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_lmu_gem_3_gem3_kapton  |solid_lmu_gem_3_region  |LMU-size compact GEM 3 gem3 kapton layer  |                             0*cm 0*cm -0.25105*cm  |                       0*deg 0*deg 0*deg  | bf0000   |                 Box  |                                      5.1*cm 5.1*cm 0.025*cm  |              kapton  |                  no  |     1   |     0   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
